"Refs","Value","Footprint","Qty","DNP"
"J_HOST?","HOST_CA_CLK (placeholder)","","1",""
"J_HOST_DQ_A?","HOST_DQ_DQS (placeholder)","","1",""
"J_HOST_DQ_B?","HOST_DQ_DQS (placeholder)","","1",""
"J_HOST_DQ_C?","HOST_DQ_DQS (placeholder)","","1",""
"J_HOST_SPD?","HOST_SMBUS_SPD (placeholder)","","1",""
"J_PWR?","UDIMM_HOST_POWER","","1",""
"U_DRAM0","H5AN8G8NAFR-UHC","Package_BGA:FBGA-78_7.5x11mm_Layout2x3x13_P0.8mm","1",""
"U_DRAM1","H5AN8G8NAFR-UHC","Package_BGA:FBGA-78_7.5x11mm_Layout2x3x13_P0.8mm","1",""
"U_DRAM2","H5AN8G8NAFR-UHC","Package_BGA:FBGA-78_7.5x11mm_Layout2x3x13_P0.8mm","1",""
"U_DRAM3","H5AN8G8NAFR-UHC","Package_BGA:FBGA-78_7.5x11mm_Layout2x3x13_P0.8mm","1",""
"U_DRAM4","H5AN8G8NAFR-UHC","Package_BGA:FBGA-78_7.5x11mm_Layout2x3x13_P0.8mm","1",""
"U_DRAM5","H5AN8G8NAFR-UHC","Package_BGA:FBGA-78_7.5x11mm_Layout2x3x13_P0.8mm","1",""
"U_DRAM6","H5AN8G8NAFR-UHC","Package_BGA:FBGA-78_7.5x11mm_Layout2x3x13_P0.8mm","1",""
"U_DRAM7","H5AN8G8NAFR-UHC","Package_BGA:FBGA-78_7.5x11mm_Layout2x3x13_P0.8mm","1",""
"U_SPD0","DDR4_SPD_EEPROM","Package_DFN_QFN:DFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.5mm","1",""
